user_id,user_segment,acquisition_channel,signup_date,account_tier,lifetime_value,region,city,state
72,Student,Instagram Ads,2024-05-05,Free,113.40,West,Los Angeles,CA
73,Gig Worker,Instagram Ads,2024-03-14,Basic,207.50,West,Phoenix,AZ
74,Young Professional,Paid Search (Google),2024-02-15,Premium,358.80,South,Atlanta,GA
75,Student,TikTok Ads,2024-05-25,Free,96.30,West,Seattle,WA
76,Gig Worker,Referral Program,2024-02-25,Premium,249.90,South,Austin,TX
77,Young Professional,Instagram Ads,2024-02-02,Premium Plus,420.40,West,San Francisco,CA
78,Student,Referral Program,2024-04-24,Basic,147.60,East,Philadelphia,PA
79,Gig Worker,TikTok Ads,2024-03-20,Basic,191.20,South,Nashville,TN
80,Young Professional,Organic Search,2024-01-18,Premium,374.80,East,Washington,DC
81,Student,Instagram Ads,2024-05-08,Free,109.20,East,Chicago,IL
82,Gig Worker,Instagram Ads,2024-03-02,Basic,212.70,South,Miami,FL
83,Young Professional,Paid Search (Google),2024-02-20,Premium Plus,409.30,East,New York,NY
84,Student,TikTok Ads,2024-06-08,Free,93.90,West,Portland,OR
85,Gig Worker,Referral Program,2024-02-28,Premium,256.10,South,Houston,TX
86,Young Professional,Instagram Ads,2024-02-10,Premium,361.20,South,Atlanta,GA
87,Student,Referral Program,2024-04-28,Basic,153.40,West,Los Angeles,CA
88,Gig Worker,TikTok Ads,2024-03-16,Basic,189.50,South,Dallas,TX
89,Young Professional,Organic Search,2023-12-28,Premium Plus,388.70,East,Boston,MA
90,Student,Instagram Ads,2024-05-12,Free,111.60,West,Seattle,WA
91,Gig Worker,Instagram Ads,2024-03-08,Basic,216.40,West,San Diego,CA
92,Young Professional,Paid Search (Google),2024-02-25,Premium,352.60,West,San Francisco,CA
93,Student,TikTok Ads,2024-05-30,Free,98.80,West,Portland,OR
94,Gig Worker,Referral Program,2024-03-04,Premium,261.30,South,Austin,TX
95,Young Professional,Instagram Ads,2024-02-14,Premium Plus,413.90,East,New York,NY
96,Student,Referral Program,2024-05-02,Basic,144.20,East,Philadelphia,PA
97,Gig Worker,TikTok Ads,2024-03-24,Basic,185.80,South,Nashville,TN
98,Young Professional,Organic Search,2024-01-22,Premium,379.40,East,Washington,DC
99,Student,Instagram Ads,2024-05-15,Free,106.70,East,Chicago,IL
100,Gig Worker,Instagram Ads,2024-03-18,Basic,208.90,South,Miami,FL
